title,genre,language,industry,rating,year,duration,mood,poster,description
Raazi,Thriller,Hindi,Bollywood,7.8,2018,138,Thought Provoking,https://image.tmdb.org/t/p/w500/sZHQ6yctAD27Ac0HLmi5afpOhKH.jpg,An Indian spy marries into a Pakistani military family.
Baby,Action,Hindi,Bollywood,8.0,2015,159,Action Rush,https://image.tmdb.org/t/p/w500/tYzFuYXmT8LOYASlFCkaPiAFAl0.jpg,Elite agents race to stop terrorist attacks.
Airlift,Drama,Hindi,Bollywood,8.0,2016,130,Inspirational,https://image.tmdb.org/t/p/w500/oyaxIm3kTWDQtcYQ45eN5sZ6WIz.jpg,A businessman leads the evacuation of Indians from Kuwait.
Tumbbad,Horror,Hindi,Bollywood,8.2,2018,104,Horror Night,https://image.tmdb.org/t/p/w500/vzjZAKozbDplHWcQXbXo0APKxst.jpg,A man searches for hidden treasure guarded by an ancient curse.
RRR,Action,Telugu,South Indian,7.8,2022,182,Action Rush,https://image.tmdb.org/t/p/w500/u0XUBNQWlOvrh0Gd97ARGpIkL0.jpg,Two revolutionaries unite against British rule.
Baahubali: The Beginning,Action,Telugu,South Indian,8.0,2015,159,Adventure,https://image.tmdb.org/t/p/w500/9BAjt8nSSms62uOVYn1t3C3dVto.jpg,A young man discovers his royal heritage.
Baahubali 2: The Conclusion,Action,Telugu,South Indian,8.2,2017,167,Adventure,https://image.tmdb.org/t/p/w500/21sC2assImQIYCEDA84Qh9d1RsK.jpg,Mahendra Baahubali returns to reclaim his kingdom.
KGF Chapter 1,Action,Kannada,South Indian,8.2,2018,156,Action Rush,https://image.tmdb.org/t/p/w500/ltHlJwvxKv7d0ooCiKSAvfwV9tX.jpg,Rocky rises through the underworld seeking power.
KGF Chapter 2,Action,Kannada,South Indian,8.2,2022,168,Action Rush,https://image.tmdb.org/t/p/w500/khNVygolU0TxLIDWff5tQlAhZ23.jpg,Rocky battles powerful enemies to protect his empire.
Kantara,Action,Kannada,South Indian,8.2,2022,148,Mystery,https://image.tmdb.org/t/p/w500/jIsKmkxMzdCZ0Ux1GVSnu8m6Na6.jpg,A man confronts ancient traditions and divine forces.
Jai Bhim,Drama,Tamil,South Indian,8.7,2021,164,Thought Provoking,https://image.tmdb.org/t/p/w500/ehybiOtBUtrMkmtB39zQEtq1Jie.jpg,A lawyer fights for justice for an innocent tribal family.
Vikram,Action,Tamil,South Indian,8.3,2022,175,Action Rush,https://image.tmdb.org/t/p/w500/774UV1aCURb4s4JfEFg3IEMu5Zj.jpg,A special agent hunts a dangerous crime syndicate.
Kaithi,Action,Tamil,South Indian,8.5,2019,145,Action Rush,https://image.tmdb.org/t/p/w500/hOF9CgPsy9aLr5GJEBESC8MEXFy.jpg,An ex-convict protects police officers during one dangerous night.
Parasite,Thriller,Korean,Korean,8.5,2019,132,Thought Provoking,https://image.tmdb.org/t/p/w500/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg,A poor family slowly enters the lives of a wealthy family.
Train to Busan,Horror,Korean,Korean,7.6,2016,118,Horror Night,https://image.tmdb.org/t/p/w500/vNVFt6dtcqnI7hqa6LFBUibuFiw.jpg,Passengers struggle to survive a zombie outbreak.
Oldboy,Thriller,Korean,Korean,8.4,2003,120,Dark,https://image.tmdb.org/t/p/w500/pWDtjs568ZfOTMbURQBYuT4Qxka.jpg,A man imprisoned for years seeks revenge.
Memories of Murder,Thriller,Korean,Korean,8.1,2003,132,Mystery,https://image.tmdb.org/t/p/w500/jcgUjx1QcupGzjntTVlnQ15lHqy.jpg,Detectives investigate Korea's first serial murder case.
The Handmaiden,Thriller,Korean,Korean,8.1,2016,145,Romantic,https://image.tmdb.org/t/p/w500/dLlH4aNHdnmf62umnInL8xPlPzw.jpg,A conman and a maid plot against a wealthy heiress.
Your Name,Romance,Japanese,Japanese,8.4,2016,106,Emotional,https://image.tmdb.org/t/p/w500/q719jXXEzOoYaps6babgKnONONX.jpg,Two teenagers mysteriously swap bodies.
Spirited Away,Fantasy,Japanese,Japanese,8.6,2001,125,Adventure,https://image.tmdb.org/t/p/w500/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg,A young girl enters a magical spirit world.
Princess Mononoke,Fantasy,Japanese,Japanese,8.4,1997,134,Adventure,https://image.tmdb.org/t/p/w500/cMYCDADoLKLbB83g4WnJegaZimC.jpg,A prince becomes caught between humans and nature.
Weathering With You,Romance,Japanese,Japanese,7.5,2019,112,Romantic,https://image.tmdb.org/t/p/w500/qgrk7r1fV4IjuoeiGS5HOhXNdLJ.jpg,A runaway boy meets a girl who can control the weather.
The Lion King,Animation,English,Hollywood,8.5,1994,88,Family Fun,https://image.tmdb.org/t/p/w500/sKCr78MXSLixwmZ8DyJLrpMsd15.jpg,A lion cub learns courage and responsibility.
Avengers: Endgame,Action,English,Hollywood,8.4,2019,181,Action Rush,https://image.tmdb.org/t/p/w500/ulzhLuWrPK07P1YkdWQLZnQh1JL.jpg,The Avengers unite for one final battle against Thanos.
Avengers: Infinity War,Action,English,Hollywood,8.4,2018,149,Action Rush,https://image.tmdb.org/t/p/w500/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,Earth's mightiest heroes face the powerful Thanos.
Iron Man,Action,English,Hollywood,7.9,2008,126,Adventure,https://image.tmdb.org/t/p/w500/78lPtwv72eTNqFW9COBYI0dWDJa.jpg,A billionaire builds a powerful suit to become Iron Man.
Spider-Man: No Way Home,Action,English,Hollywood,8.2,2021,148,Adventure,https://image.tmdb.org/t/p/w500/1g0dhYtq4irTY1GPXvft6k4YLjm.jpg,Spider-Man meets heroes from different universes.
Captain America: The Winter Soldier,Action,English,Hollywood,7.8,2014,136,Action Rush,https://image.tmdb.org/t/p/w500/tVFRpFw3xTedgPGqxW0AOI8Qhh0.jpg,Captain America uncovers a conspiracy within S.H.I.E.L.D.
Mission: Impossible - Fallout,Action,English,Hollywood,7.7,2018,147,Action Rush,https://image.tmdb.org/t/p/w500/AkJQpZp9WoNdj7pLYSj1L0RcMMN.jpg,Ethan Hunt races against time to stop a global disaster.
Top Gun: Maverick,Action,English,Hollywood,8.2,2022,131,Adventure,https://image.tmdb.org/t/p/w500/n0YuM4f5lvGAP6MAW2kBIzugXnc.jpg,Maverick trains a new generation of fighter pilots.
John Wick,Action,English,Hollywood,7.4,2014,101,Action Rush,https://image.tmdb.org/t/p/w500/wXqWR7dHncNRbxoEGybEy7QTe9h.jpg,A retired assassin returns after a personal tragedy.
The Martian,Sci-Fi,English,Hollywood,8.0,2015,144,Inspirational,https://image.tmdb.org/t/p/w500/pjYWdykADVLTCh5g475RnI2hWIN.jpg,An astronaut fights to survive alone on Mars.
Dune,Sci-Fi,English,Hollywood,8.0,2021,155,Adventure,https://image.tmdb.org/t/p/w500/gDzOcq0pfeCeqMBwKIJlSmQpjkZ.jpg,A young noble embraces his destiny on a desert planet.
Blade Runner 2049,Sci-Fi,English,Hollywood,8.0,2017,164,Mind Bending,https://image.tmdb.org/t/p/w500/gajva2L0rPYkEWjzgFlBXCAVBE5.jpg,A blade runner uncovers a world-changing secret.
Arrival,Sci-Fi,English,Hollywood,7.9,2016,116,Thought Provoking,https://image.tmdb.org/t/p/w500/x2FJsf1ElAgr63Y3PNPtJrcmpoe.jpg,A linguist attempts to communicate with alien visitors.
The Conjuring,Horror,English,Hollywood,7.5,2013,112,Horror Night,https://image.tmdb.org/t/p/w500/wVYREutTvI2tmxr6ujrHT704wGF.jpg,Paranormal investigators help a haunted family.
A Quiet Place,Horror,English,Hollywood,7.5,2018,90,Horror Night,https://image.tmdb.org/t/p/w500/nAU74GmpUk7t5iklEp3bufwDq4n.jpg,A family survives creatures that hunt by sound.
Home Alone,Comedy,English,Hollywood,7.7,1990,103,Family Fun,https://image.tmdb.org/t/p/w500/fP3VvqUjEBjawxZHL4sYCq2ZdJD.jpg,A clever boy protects his home from burglars.
Toy Story,Animation,English,Hollywood,8.3,1995,81,Family Fun,https://image.tmdb.org/t/p/w500/sfQtVlIHljToOwYjhe21KPGzZWK.jpg,Toys come alive whenever humans leave the room.
Finding Nemo,Animation,English,Hollywood,8.2,2003,100,Family Fun,https://image.tmdb.org/t/p/w500/5lc6nQc0VhWFYFbNv016xze8Jvy.jpg,A clownfish searches the ocean for his missing son.
Coco,Animation,English,Hollywood,8.4,2017,105,Emotional,https://image.tmdb.org/t/p/w500/6Ryitt95xrO8KXuqRGm1fUuNwqF.jpg,A boy discovers his family's musical history.
Jurassic Park,Adventure,English,Hollywood,8.2,1993,127,Adventure,https://image.tmdb.org/t/p/w500/b1xCNnyrPebIc7EWNZIa6jhb1Ww.jpg,Dinosaurs return to life inside a theme park.
The Pursuit of Happyness,Biography,English,Hollywood,8.0,2006,117,Inspirational,https://image.tmdb.org/t/p/w500/lBYOKAMcxIvuk9s9hMuecB9dPBV.jpg,A struggling salesman never gives up on his dreams.
